Name                                         PID     Status         CPU%    Memory      Disk (R/W MB/s)   Network   
    svchost.exe                              3124    running        0.0%    10.4 MB     0.0 MB/s          N/A       
    svchost.exe                              3136    running        0.0%    12.0 MB     0.0 MB/s          N/A       
    svchost.exe                              3260    running        0.0%    18.3 MB     0.0 MB/s          N/A       
      AppVShNotify.exe                       17192   running        0.0%    10.8 MB     0.0 MB/s          N/A       
    OfficeClickToRun.exe (1)                 3324    running        0.0%    92.8 MB     0.0 MB/s          N/A       
      audiodg.exe                            17556   running        0.0%    29.5 MB     0.0 MB/s          N/A       
    svchost.exe (1)                          3344    running        0.0%    48.1 MB     0.0 MB/s          N/A       
    WUDFHost.exe                             3444    running        0.0%    16.3 MB     0.0 MB/s          N/A       
      ctfmon.exe                             9588    running        0.0%    39.8 MB     0.0 MB/s          N/A       
    svchost.exe (1)                          3552    running        0.0%    48.2 MB     0.0 MB/s          N/A       
        ShellHost.exe                        2984    running        0.0%    65.1 MB     0.0 MB/s          N/A       
      sihost.exe (1)                         5416    running        0.0%    105.4 MB    0.0 MB/s          N/A       
    svchost.exe (1)                          3584    running        0.0%    126.6 MB    0.0 MB/s          N/A       
    svchost.exe                              3604    running        0.0%    35.4 MB     0.0 MB/s          N/A       
    svchost.exe                              3632    running        0.0%    15.1 MB     0.0 MB/s          N/A       
    svchost.exe                              3652    running        0.0%    32.8 MB     0.0 MB/s          N/A       
    svchost.exe                              3716    running        0.0%    9.0 MB      0.0 MB/s          N/A       
    esrv_svc.exe                             3736    running        0.0%    217.9 MB    0.0 MB/s          N/A       
      wlanext.exe                            4220    running        0.0%    7.9 MB      0.0 MB/s          N/A       
    svchost.exe (1)                          3828    running        0.0%    37.5 MB     0.0 MB/s          N/A       
    svchost.exe                              3884    running        0.0%    14.6 MB     0.0 MB/s          N/A       
    svchost.exe                              3888    running        0.0%    17.4 MB     0.0 MB/s          N/A       
    spoolsv.exe                              4000    running        0.0%    31.0 MB     0.0 MB/s          N/A       
    svchost.exe                              4080    running        0.0%    23.5 MB     0.0 MB/s          N/A       
    svchost.exe                              4116    running        0.0%    9.5 MB      0.0 MB/s          N/A       
    SurSvc.exe                               4176    running        0.0%    111.5 MB    0.0 MB/s          N/A       
      NgcIso.exe                             4336    running        0.0%    5.3 MB      0.0 MB/s          N/A       
    svchost.exe (1)                          4236    running        0.0%    19.5 MB     0.0 MB/s          N/A       
      AggregatorHost.exe                     6128    running        0.0%    19.5 MB     0.0 MB/s          N/A       
    svchost.exe (1)                          4348    running        0.0%    76.6 MB     0.0 MB/s          N/A       
    svchost.exe                              4360    running        0.0%    25.8 MB     0.0 MB/s          N/A       
    svchost.exe                              4376    running        0.0%    8.1 MB      0.0 MB/s          N/A       
    svchost.exe                              4388    running        0.0%    8.8 MB      0.0 MB/s          N/A       
    DAX3API.exe                              4396    running        0.0%    23.2 MB     0.0 MB/s          N/A       
    svchost.exe                              4416    running        0.0%    54.6 MB     0.0 MB/s          N/A       
      DSATray.exe                            5212    running        0.0%    98.6 MB     0.0 MB/s          N/A       
    DSAService.exe (1)                       4428    running        0.0%    220.7 MB    0.0 MB/s          N/A       
    DSAUpdateService.exe                     4436    running        0.0%    46.9 MB     0.0 MB/s          N/A       
    FMService64.exe                          4548    running        0.0%    9.7 MB      0.0 MB/s          N/A       
      dptf_helper.exe                        4792    running        0.0%    8.0 MB      0.0 MB/s          N/A       
